Player,Age,Year,Tm,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_per36,GS_per36,MP_per36,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster,PC1,PC2,PC3
Alex Sarr,19,2024,WAS,C,67,67,1814,326,828,105,341,221,487,112,165,124,311,435,161,44,101,114,146,869,1.3296582138919515,1.3296582138919515,36.0,6.4696802646086,16.432194046306506,2.083792723263506,6.7673649393605295,4.3858875413450935,9.664829106945977,2.2227122381477398,3.2745314222712234,2.4608599779492835,6.17199558985667,8.632855567805954,3.195148842337376,0.8732083792723263,2.0044101433296584,2.262403528114664,2.8974641675854462,17.245865490628447,1,1.013114391378388,1.0695030607938818,0.8376232296782676
Alperen Şengün,19,2022,HOU,C,72,13,1489,249,525,29,117,220,408,165,232,138,255,393,185,59,68,145,214,692,1.7407656145063801,0.3143049026192075,36.0,6.020147750167898,12.69308260577569,0.7011417058428476,2.828744123572868,5.31900604432505,9.864338482202822,3.9892545332437876,5.609133646742781,3.3364674278038953,6.165211551376763,9.501678979180658,4.472800537273338,1.4264607118871728,1.64405641370047,3.505708529214238,5.173942243116185,16.730691739422433,1,1.4903587175983743,3.3151028815326864,-0.9338764793843007
Alperen Şengün,20,2023,HOU,C,75,72,2171,442,799,19,57,423,742,206,288,242,436,678,291,70,70,193,258,1109,1.243666513127591,1.1939198526024875,36.0,7.3293413173652695,13.249193919852601,0.3150621833256564,0.9451865499769692,7.014279134039613,12.304007369875634,3.4159373560571162,4.77567941040995,4.01289728235836,7.229847996315062,11.242745278673423,4.825426070935054,1.1607554122524182,1.1607554122524182,3.2003684937816677,4.278212805158913,18.38968217411331,1,2.9469290806555173,3.6331033730466737,1.4305170878814908
Alperen Şengün,22,2024,HOU,C,76,76,2395,567,1143,21,90,546,1053,296,428,262,524,786,372,84,61,194,209,1451,1.1423799582463467,1.1423799582463467,36.0,8.522755741127348,17.18079331941545,0.31565762004175363,1.3528183716075155,8.207098121085595,15.827974947807933,4.449269311064718,6.43340292275574,3.938204592901879,7.876409185803758,11.814613778705636,5.591649269311065,1.2626304801670145,0.9169102296450939,2.9160751565762006,3.141544885177453,21.81043841336117,1,5.003671844111147,2.970164564163955,1.6211237952340984
Amen Thompson,22,2024,HOU,SF,69,42,2225,388,697,25,91,363,606,169,247,192,372,564,265,97,89,138,167,970,1.1164044943820224,0.6795505617977528,36.0,6.277752808988764,11.277303370786516,0.4044943820224719,1.472359550561798,5.873258426966292,9.804943820224718,2.73438202247191,3.9964044943820225,3.1065168539325843,6.0188764044943825,9.125393258426966,4.287640449438202,1.569438202247191,1.44,2.2328089887640448,2.7020224719101122,15.69438202247191,1,0.9941226576828666,2.530808238310483,0.9924926409898364
Amir Coffey,24,2022,LAC,SG,69,30,1567,211,466,96,254,115,212,101,117,26,171,197,124,38,15,45,87,619,1.5851946394384173,0.6892150606253988,36.0,4.847479259731973,10.705807275047862,2.2054881940012763,5.83535417996171,2.6419910657306955,4.870453095086152,2.3203573707721765,2.6879387364390555,0.597319719208679,3.9285258455647734,4.525845564773452,2.848755583918315,0.8730057434588385,0.3446075303126994,1.0338225909380983,1.9987236758136566,14.220804084237397,0,-2.100544735259332,-1.2002901052874098,0.42628587568235765
Amir Coffey,27,2024,LAC,SG,72,13,1748,240,510,101,247,139,263,115,129,32,129,161,77,40,7,45,120,696,1.4828375286041189,0.26773455377574373,36.0,4.94279176201373,10.503432494279176,2.080091533180778,5.08695652173913,2.862700228832952,5.416475972540045,2.3684210526315788,2.65675057208238,0.6590389016018307,2.65675057208238,3.31578947368421,1.585812356979405,0.8237986270022883,0.14416475972540047,0.9267734553775744,2.471395881006865,14.334096109839816,0,-2.3769006777256747,-1.230561247088666,0.4373909657863951
Andre Drummond,27,2021,CLE,C,46,46,1242,282,572,0,8,282,564,123,205,166,385,551,94,63,49,124,149,687,1.3333333333333333,1.3333333333333333,36.0,8.173913043478262,16.579710144927535,0.0,0.2318840579710145,8.173913043478262,16.347826086956523,3.5652173913043477,5.942028985507247,4.811594202898551,11.159420289855072,15.971014492753625,2.7246376811594204,1.8260869565217392,1.4202898550724639,3.5942028985507246,4.3188405797101455,19.91304347826087,1,4.363247482893522,5.821521296317759,-1.968977377229243
Andre Drummond,28,2022,BRK,C,73,36,1437,247,433,0,3,247,430,86,164,229,451,680,131,78,68,115,192,580,1.8288100208768268,0.9018789144050104,36.0,6.187891440501044,10.847599164926931,0.0,0.07515657620041753,6.187891440501044,10.772442588726515,2.154488517745303,4.108559498956159,5.736951983298538,11.298538622129437,17.035490605427974,3.2818371607515657,1.954070981210856,1.7035490605427974,2.8810020876826723,4.810020876826722,14.530271398747391,1,1.3769011229367119,6.802416572332661,0.04535139856227036
Andre Iguodala,37,2021,MIA,SF,63,5,1339,95,248,60,182,35,66,25,38,38,183,221,142,57,35,67,90,275,1.6938013442867812,0.1344286781179985,36.0,2.5541448842419716,6.667662434652725,1.613144137415982,4.893203883495145,0.9410007468259896,1.7744585511575803,0.6721433905899925,1.0216579536967887,1.0216579536967887,4.9200896191187455,5.941747572815534,3.817774458551158,1.532486930545183,0.9410007468259896,1.80134428678118,2.4197162061239728,7.393577296489918,0,-4.357254620103272,0.26409024562432715,-0.4885745706919185
